Saison,Format,Team,Gegner,Tore Wygorazzi,Tore Gegner,Sieg, Niederlage, Unentschieden, Liga Wygorazzi,Liga Gegner, Match_Id
21/22,Cup,Wygorazzi,Black Roses Rappi,14,3,Ja,Nein,Nein,5,3,3
21/22,Cup,Wygorazzi,Oekingen,9,10,Nein,Ja,Nein,5,1,5
21/22,Cup,Wygorazzi,Loewen Buerglen,15,14,Ja,Nein,Nein,5,2,4
20/21,Meisterschaft,Wygorazzi,Haerkingen,7,3,Ja,Nein,Nein,5,5,1
20/21,Meisterschaft,Wygorazzi,Rüttenen,15,0,Ja,Nein,Nein,5,5,2
21/22,Meisterschaft,Wygorazzi,Rüttenen,12,3,Ja,Nein,Nein,5,5,7
21/22,Meisterschaft,Wygorazzi,Selzach,7,1,Ja,Nein,Nein,5,5,6
21/22,Meisterschaft,Wygorazzi,Murgenthal,10,3,Ja,Nein,Nein,5,5,8
21/22,Meisterschaft,Wygorazzi,Lohn,9,1,Ja,Nein,Nein,5,5,9
21/22,Meisterschaft,Wygorazzi,Orpund,16,2,Ja,Nein,Nein,5,5,11
21/22,Meisterschaft,Wygorazzi,Moutier,16,4,Ja,Nein,Nein,5,5,12
21/22,Meisterschaft,Wygorazzi,Lomiswil,9,2,Ja,Nein,Nein,5,5,13
21/22,Meisterschaft,Wygorazzi,Pieterlen,13,3,Ja,Nein,Nein,5,5,14
21/22,Meisterschaft,Wygorazzi,Selzach,7,1,Ja,Nein,Nein,5,5,15
21/22,Meisterschaft,Wygorazzi,Murgenthal,10,1,Ja,Nein,Nein,5,5,16
21/22,Meisterschaft,Wygorazzi,Reconviller,17,5,Ja,Nein,Nein,5,5,17
21/22,Meisterschaft,Wygorazzi,Orpund,13,5,Ja,Nein,Nein,5,5,18
21/22,Meisterschaft,Wygorazzi,Moutier,15,2,Ja,Nein,Nein,5,5,19
21/22,Meisterschaft,Wygorazzi,Lomiswil,7,4,Ja,Nein,Nein,5,5,20
22/23,Cup,Wygorazzi,Racoons,12,17,Nein,Ja,Nein,4,2,21
22/23,Meisterschaft,Wygorazzi,Grosswangen,5,5,Nein,Nein,Ja,4,4,22
22/23,Meisterschaft,Wygorazzi,Deitingen,6,9,Nein,Ja,Nein,4,4,23
22/23,Meisterschaft,Wygorazzi,Derendingen,16,6,Ja,Nein,Nein,4,4,24
22/23,Meisterschaft,Wygorazzi,Hornets,13,3,Ja,Nein,Nein,4,4,25
22/23,Meisterschaft,Wygorazzi,Richenthal,4,3,Ja,Nein,Nein,4,4,27
22/23,Meisterschaft,Wygorazzi,Grauholz,10,2,Ja,Nein,Nein,4,4,28
22/23,Meisterschaft,Wygorazzi,Grosswangen,4,6,Nein,Ja,Nein,4,4,29
22/23,Meisterschaft,Wygorazzi,Deitingen,16,5,Ja,Nein,Nein,4,4,30
22/23,Meisterschaft,Wygorazzi,Grauholz,10,6,Ja,Nein,Nein,4,4,31
22/23,Meisterschaft,Wygorazzi,Hornets,17,3,Ja,Nein,Nein,4,4,32
22/23,Meisterschaft,Wygorazzi,Derendingen,16,4,Ja,Nein,Nein,4,4,33
22/23,Meisterschaft,Wygorazzi,Richenthal,5,3,Ja,Nein,Nein,4,4,34
22/23,Meisterschaft,Wygorazzi,Walkringen,11,5,Ja,Nein,Nein,4,4,35
22/23,Meisterschaft,Wygorazzi,Biberist,10,4,Ja,Nein,Nein,4,4,36
22/23,Meisterschaft,Wygorazzi,Uetigen,12,3,Ja,Nein,Nein,4,4,37
23/24,Meisterschaft,Wygorazzi,Kaenerkinden,6,4,Ja,Nein,Nein,3,3,40
23/24,Meisterschaft,Wygorazzi,Bubendorf,6,5,Ja,Nein,Nein,3,3,41
23/24,Meisterschaft,Wygorazzi,Basel United,6,4,Ja,Nein,Nein,3,3,42
23/24,Meisterschaft,Wygorazzi,Flüh,10,5,Ja,Nein,Nein,3,3,43
23/24,Meisterschaft,Wygorazzi,Reinach,4,5,Nein,Ja,Nein,3,3,45
23/24,Cup,Wygorazzi,Zulgtal,7,11,Nein,Ja,Nein,3,2,39
23/24,Meisterschaft,Wygorazzi,Mümliswil,7,4,Ja,Nein,Nein,3,3,44
23/24,Cup,Wygorazzi,Seedorf,16,9,Ja,Nein,Nein,3,3,38
21/22,Meisterschaft,Wygorazzi,Reconviller,11,4,Ja,Nein,Nein,5,5,10
22/23,Meisterschaft,Wygorazzi,Walkringen,8,4,Ja,Nein,Nein,4,4,26
23/24,Meisterschaft,Wygorazzi,Nuglar,4,7,Nein,Ja,Nein,3,3,46
23/24,Meisterschaft,Wygorazzi,Kestenholz,9,4,Ja,Nein,Nein,3,3,47
23/24,Meisterschaft,Wygorazzi,Emotion,10,8,Ja,Nein,Nein,3,3,48
23/24,Meisterschaft,Wygorazzi,Känerkinden,11,5,Ja,Nein,Nein,3,3,49
23/24,Meisterschaft,Wygorazzi,Bubendorf,6,10,Nein,Ja,Nein,3,3,50
23/24,Meisterschaft,Wygorazzi,Emotion,14,7,Ja,Nein,Nein,3,3,51
23/24,Meisterschaft,Wygorazzi,Flüh,8,6,Ja,Nein,Nein,3,3,52
23/24,Meisterschaft,Wygorazzi,Basel United,3,6,Nein,Ja,Nein,3,3,53
23/24,Meisterschaft,Wygorazzi,Reinach,5,7,Nein,Ja,Nein,3,3,54
23/24,Meisterschaft,Wygorazzi,Mümliswil,3,6,Nein,Ja,Nein,3,3,55
23/24,Meisterschaft,Wygorazzi,Nuglar,4,5,Nein,Ja,Nein,3,3,56
23/24,Meisterschaft,Wygorazzi,Kestenholz,7,4,Ja,Nein,Nein,3,3,57
24/25,Cup,Wygorazzi,Schangnau,22,12,Ja,Nein,Nein,3,3,58
24/25,Cup,Wygorazzi,Bern Capitals,15,8,Ja,Nein,Nein,3,2,59
24/25,Cup,Wygorazzi,Känderkindne,18,7,Ja,Nein,Nein,3,3,60
24/25,Cup,Wygorazzi,Elgg,8,16,Nein,Ja,Nein,3,1,61
24/25,Meisterschaft,Wygorazzi,Seedorf,11,3,Ja,Nein,Nein,3,3,63
24/25,Meisterschaft,Wygorazzi,Oekingen,5,5,Nein,Nein,Ja,3,3,62
24/25,Meisterschaft,Wygorazzi,Lommiswil,3,7,Nein,Ja,Nein,3,3,64
24/25,Meisterschaft,Wygorazzi,Kappelen,11,5,Ja,Nein,Nein,3,3,65
24/25,Meisterschaft,Wygorazzi,Laupen,8,6,Ja,Nein,Nein,3,3,66
24/25,Meisterschaft,Wygorazzi,Biberist,6,5,Ja,Nein,Nein,3,3,67
24/25,Meisterschaft,Wygorazzi,Heimiswil,15,3,Ja,Nein,Nein,3,3,68
24/25,Meisterschaft,Wygorazzi,Racoons,13,0,Ja,Nein,Nein,3,3,69
24/25,Meisterschaft,Wygorazzi,Seedorf,8,6,Ja,Nein,Nein,3,3,70
24/25,Meisterschaft,Wygorazzi,Murgenthal,9,5,Ja,Nein,Nein,3,3,71
24/25,Meisterschaft,Wygorazzi,Oekingen,8,6,Ja,Nein,Nein,3,3,72
24/25,Meisterschaft,Wygorazzi,Murgenthal,7,6,Ja,Nein,Nein,3,3,73
24/25,Meisterschaft,Wygorazzi,Kappelen,11,3,Ja,Nein,Nein,3,3,74
24/25,Meisterschaft,Wygorazzi,Lommisil,15,2,Ja,Nein,Nein,3,3,75
24/25,Meisterschaft,Wygorazzi,Bibersit,8,3,Ja,Nein,Nein,3,3,76
24/25,Meisterschaft,Wygorazzi,Laupen,5,2,Ja,Nein,Nein,3,3,77
24/25,Meisterschaft,Wygorazzi,Heimiswil,6,6,Nein,Nein,Ja,3,3,78
24/25,Meisterschaft,Wygorazzi,Racoons,10,3,Ja,Nein,Nein,3,3,79
25/26,Cup,Wygorazzi,Kerzers,21,4,Ja,Nein,Nein,2,4,80
25/26,Cup,Wygorazzi,Alterswil-St.Antoni,10,9,Ja,Nein,Nein,2,2,81
25/26,Cup,Wygorazzi,Merenschwand,7,9,Nein,Ja,Nein,2,2,82
25/26,Meisterschaft,Wygorazzi,White Horse Lengnau,6,11,Nein,Ja,Nein,2,2,83
25/26,Meisterschaft,Wygorazzi,Wolhusen,6,3,Ja,Nein,Nein,2,2,84
25/26,Meisterschaft,Wygorazzi,Spreitenbach,3,5,Nein,Ja,Nein,2,2,85
25/26,Meisterschaft,Wygorazzi,Beromünster,6,3,Ja,Nein,Nein,2,2,86
25/26,Meisterschaft,Wygorazzi,Vallemaggia,6,4,Ja,Nein,Nein,2,2,87
25/26,Meisterschaft,Wygorazzi,Grosswangen,4,8,Nein,Ja,Nein,2,2,88